Car Model,Mileage,Sell Price($),Age(yrs)
Audi A5,92401,10000,7
BMW X5,70509,10000,7
Mercedez Benz C class,15516,31352,1
BMW X5,107016,10000,10
Mercedez Benz C class,95437,10000,10
Mercedez Benz C class,74958,11752,7
BMW X5,98297,10000,9
BMW X5,17470,37434,1
Audi A5,35383,33969,3
Audi A5,48282,18994,5
BMW X5,106705,10000,9
Mercedez Benz C class,128959,10000,10
BMW X5,43304,33707,3
BMW X5,128187,11528,9
BMW X5,115801,10000,9
Mercedez Benz C class,107006,10000,6
BMW X5,47118,18042,4
Mercedez Benz C class,25336,32346,3
Mercedez Benz C class,96616,16854,6
Mercedez Benz C class,9134,32775,1
Audi A5,62587,18414,4
BMW X5,34522,28072,3
BMW X5,57168,10000,7
Mercedez Benz C class,78571,10000,9
Audi A5,18311,28056,2
Audi A5,48072,31101,3
Audi A5,41763,23469,3
Mercedez Benz C class,155919,10000,9
Audi A5,57196,24133,5
BMW X5,66212,20233,7
Audi A5,130680,13457,8
Mercedez Benz C class,59213,18334,5
BMW X5,12346,43245,1
Audi A5,37557,21184,3
BMW X5,117076,10000,7
Mercedez Benz C class,83676,10537,9
Mercedez Benz C class,82858,10000,8
BMW X5,33692,38483,2
Audi A5,102984,11126,6
BMW X5,53640,25790,5
BMW X5,32918,30187,4
Mercedez Benz C class,126204,10000,9
BMW X5,123087,10000,9
Mercedez Benz C class,38392,20848,4
BMW X5,64325,23709,5
Audi A5,129780,10000,10
Audi A5,112406,10000,8
Mercedez Benz C class,82715,18993,6
Mercedez Benz C class,125633,10000,8
BMW X5,85262,10000,8
BMW X5,108884,14777,7
BMW X5,32263,28820,2
Mercedez Benz C class,20839,36523,2
Audi A5,134434,10000,10
BMW X5,21680,34279,2
BMW X5,96766,14450,6
BMW X5,26287,26001,2
Mercedez Benz C class,62370,10752,7
BMW X5,38015,28461,4
BMW X5,94949,10000,9
Audi A5,15618,44711,1
BMW X5,64699,18146,5
Audi A5,56805,10000,5
BMW X5,61827,29284,4
Mercedez Benz C class,154979,10000,9
Audi A5,95444,10000,10
BMW X5,65118,10000,7
Audi A5,22779,28698,2
BMW X5,33068,34223,2
BMW X5,80652,10000,8
Audi A5,158703,10000,9
Audi A5,97533,10000,9
Audi A5,60316,19610,6
BMW X5,100638,11271,7
Audi A5,55951,10585,6
BMW X5,81808,10000,9
BMW X5,16490,36930,1
BMW X5,16052,34350,1
Mercedez Benz C class,61112,10000,7
BMW X5,89655,10000,9
Mercedez Benz C class,68377,22908,5
BMW X5,103466,10000,9
BMW X5,38439,30913,4
Mercedez Benz C class,90031,15091,7
BMW X5,133216,10000,10
Mercedez Benz C class,31366,28269,3
BMW X5,98161,11380,9
BMW X5,27501,36310,3
Mercedez Benz C class,113377,10000,8
Audi A5,110718,10000,7
Mercedez Benz C class,42965,21480,4
Mercedez Benz C class,75072,26130,5
Mercedez Benz C class,62086,21068,6
Audi A5,69703,10423,7
BMW X5,93158,14257,6
Audi A5,79886,10000,8
BMW X5,80573,14297,5
Mercedez Benz C class,19113,30059,2
Mercedez Benz C class,74145,16491,5
Audi A5,131994,10978,8
BMW X5,12250,34218,1
Mercedez Benz C class,158049,10000,9
Audi A5,88269,10000,10
Audi A5,132846,10000,10
BMW X5,66669,20550,4
BMW X5,59440,24756,5
BMW X5,27336,36650,2
BMW X5,100518,10000,6
BMW X5,33494,23630,3
Audi A5,8435,44237,1
Audi A5,65838,10000,8
BMW X5,53848,32082,4
Mercedez Benz C class,178480,10000,10
Audi A5,48600,32098,3
BMW X5,34390,32349,4
Audi A5,14242,40715,1
Mercedez Benz C class,26701,37373,2
Audi A5,83302,16782,5
Audi A5,100340,10000,6
Audi A5,16102,35227,1
Audi A5,21603,34435,2
Mercedez Benz C class,155379,10000,10
Audi A5,10748,36325,1
BMW X5,53562,16860,6
Audi A5,62078,10047,6
Audi A5,9534,45475,1
Audi A5,78936,23525,5
Audi A5,108288,10000,7
BMW X5,162562,10000,10
Audi A5,92668,12173,8
BMW X5,53898,24399,3
BMW X5,59960,12836,6
Audi A5,153380,10000,10
BMW X5,12731,31508,1
Mercedez Benz C class,156388,10000,10
Mercedez Benz C class,64748,10000,5
Mercedez Benz C class,128499,10000,9
Mercedez Benz C class,53425,31833,3
Audi A5,50344,26025,4
Mercedez Benz C class,81795,14725,5
Audi A5,39894,27458,4
BMW X5,64704,25046,4
Mercedez Benz C class,66993,10000,8
BMW X5,32469,18326,4
BMW X5,152915,10000,9
BMW X5,86177,10000,7
Audi A5,91495,10000,10
Audi A5,82190,10000,7
Mercedez Benz C class,154705,10000,10
Mercedez Benz C class,63025,23504,4
Audi A5,87986,10000,5
BMW X5,141388,10000,9
Mercedez Benz C class,125076,10980,7
BMW X5,40366,27487,4
BMW X5,147367,10000,10
Mercedez Benz C class,87627,10000,9
Mercedez Benz C class,84801,21811,5
Mercedez Benz C class,149981,10000,9
Audi A5,89719,10000,9
Mercedez Benz C class,14856,34409,1
Audi A5,85681,15852,8
Audi A5,98426,10000,7
Mercedez Benz C class,68856,18093,5
Audi A5,80703,24689,6
Mercedez Benz C class,83682,17520,5
Audi A5,41172,29266,4
Audi A5,87312,10000,8
BMW X5,20277,31507,2
BMW X5,104671,14905,7
Audi A5,39528,22689,3
BMW X5,34339,27193,2
BMW X5,16053,44296,1
Audi A5,103566,10000,9
BMW X5,51538,21467,4
Mercedez Benz C class,37553,24416,3
BMW X5,96501,10000,8
Audi A5,122582,10000,9
Mercedez Benz C class,9677,42662,1
BMW X5,74843,10000,9
Audi A5,29533,33298,3
Audi A5,77528,10000,9
BMW X5,157438,10000,9
Mercedez Benz C class,35927,28696,2
BMW X5,23678,33743,2
BMW X5,58741,10000,6
Mercedez Benz C class,28759,32385,3
Audi A5,96952,10000,8
BMW X5,98302,10000,8
BMW X5,64164,16105,5
BMW X5,99673,13445,9
Mercedez Benz C class,43622,24752,3
Audi A5,78647,16159,6
Audi A5,106491,10000,6
Audi A5,53441,20130,4
Mercedez Benz C class,24840,32298,3
BMW X5,139530,10000,8
BMW X5,60952,20265,5
Audi A5,53519,23832,3
BMW X5,50735,31217,3
Mercedez Benz C class,47858,20082,4
Audi A5,17595,36111,1
Mercedez Benz C class,138170,10000,10
BMW X5,123216,10000,9
Mercedez Benz C class,125164,10000,7
BMW X5,135733,10000,10
Audi A5,118909,10000,10
Audi A5,36168,34872,3
Audi A5,104646,10000,9
BMW X5,119461,10000,8
Audi A5,47417,33639,3
BMW X5,116530,10000,10
Mercedez Benz C class,82011,10000,9
BMW X5,71688,26572,4
BMW X5,143396,10000,10
BMW X5,10874,35393,1
Audi A5,59169,14568,6
Audi A5,56206,28950,4
Mercedez Benz C class,16494,41652,2
Mercedez Benz C class,115283,10000,8
Audi A5,22997,27635,2
BMW X5,46993,27616,5
Mercedez Benz C class,52960,26791,4
Audi A5,57005,27079,4
Audi A5,17919,34743,1
BMW X5,35829,29548,3
Mercedez Benz C class,130722,10000,9
Audi A5,153620,10000,9
Audi A5,111926,10000,9
BMW X5,71743,21833,5
Audi A5,115071,10000,8
BMW X5,76095,10000,5
Mercedez Benz C class,32612,29912,3
Mercedez Benz C class,80633,13863,5
Audi A5,47624,21550,5
Audi A5,63167,19572,4
Audi A5,72556,10000,6
Audi A5,50238,17129,6
Mercedez Benz C class,13650,37306,1
BMW X5,165625,10000,10
Mercedez Benz C class,43590,15426,5
BMW X5,122783,10000,9
BMW X5,140480,10000,8
BMW X5,17013,32781,1
BMW X5,18317,35581,2
Audi A5,32712,24301,2
BMW X5,16786,37315,1
Audi A5,79272,15125,7
BMW X5,152388,10000,9
Audi A5,24754,30547,3
BMW X5,28950,34348,3
BMW X5,64776,25229,5
BMW X5,43467,14137,5
Audi A5,56349,20450,5
BMW X5,135910,10000,8
BMW X5,65616,27943,5
Audi A5,141769,10000,9
Audi A5,63970,15238,5
Audi A5,40745,24806,4
Audi A5,40602,16708,5
Mercedez Benz C class,10791,40344,1
Audi A5,55839,10000,6
Mercedez Benz C class,51667,22827,6
Mercedez Benz C class,44137,26811,4
Audi A5,144086,10000,9
Mercedez Benz C class,105585,10000,7
Audi A5,25991,30602,2
BMW X5,17013,34135,1
BMW X5,12923,39959,1
BMW X5,98450,11087,6
Audi A5,50506,10000,6
BMW X5,34342,28443,2
Mercedez Benz C class,127247,10000,9
Audi A5,30043,29958,3
Audi A5,52978,23716,3
Audi A5,22943,38028,2
Audi A5,46936,34397,3
BMW X5,92371,10000,6
Mercedez Benz C class,17076,39831,1
Audi A5,163734,10000,10
Audi A5,77768,15483,7
Mercedez Benz C class,45184,22732,4
Mercedez Benz C class,14436,42549,1
BMW X5,98554,15743,6
Audi A5,121734,10000,10
Audi A5,65703,10000,7
Audi A5,124583,10589,9
BMW X5,127847,10000,8
BMW X5,134506,10000,10
BMW X5,10447,34727,1
BMW X5,95310,11085,6
Mercedez Benz C class,53785,30555,4
Mercedez Benz C class,17348,34887,2
Audi A5,116322,15000,8
Audi A5,92309,10000,8
Mercedez Benz C class,63080,10000,5
Audi A5,97835,12122,8
BMW X5,66899,10000,8
Audi A5,51996,19977,5
BMW X5,140041,10000,8
Audi A5,84138,10000,8
Mercedez Benz C class,54631,16676,5
Audi A5,83171,10000,10
Audi A5,104915,10000,6
Audi A5,131227,10000,9
Mercedez Benz C class,21324,30776,2
Mercedez Benz C class,41928,28394,3
BMW X5,121178,11266,8
Mercedez Benz C class,19200,32435,2
Audi A5,146695,10000,10
BMW X5,42856,26842,4
BMW X5,108855,10000,7
BMW X5,53846,25921,3
BMW X5,105769,10000,9
BMW X5,55169,10000,5
Audi A5,100972,10000,6
Audi A5,126056,10000,8
Mercedez Benz C class,76271,20507,6
Audi A5,146311,10000,10
Mercedez Benz C class,40427,20150,5
Audi A5,102807,10694,8
Mercedez Benz C class,52119,13883,5
Audi A5,105377,10000,9
Audi A5,59999,13399,6
Audi A5,8894,36216,1
Audi A5,90784,10000,6
Audi A5,28675,36134,3
BMW X5,28703,27326,2
BMW X5,164669,10000,10
Mercedez Benz C class,30686,21649,3
BMW X5,141678,10000,9
BMW X5,36770,22412,4
BMW X5,53960,10000,5
Audi A5,54047,12246,5
Mercedez Benz C class,26014,40844,2
Mercedez Benz C class,60254,13016,6
BMW X5,41689,23927,3
Audi A5,104888,10000,10
BMW X5,43443,24286,4
BMW X5,53421,22180,3
BMW X5,12859,30957,1
Mercedez Benz C class,108002,10000,8
BMW X5,96957,10000,9
Mercedez Benz C class,82034,16300,5
BMW X5,97467,10000,10
BMW X5,140109,10000,8
Audi A5,34359,29686,2
Mercedez Benz C class,69002,25690,4
Mercedez Benz C class,44049,24914,3
Mercedez Benz C class,71868,13057,6
Mercedez Benz C class,136557,10000,8
Mercedez Benz C class,27394,29847,2
Mercedez Benz C class,81986,10046,5
BMW X5,49269,23448,3
BMW X5,139531,10000,8
BMW X5,65159,18279,5
Audi A5,80637,10000,9
Mercedez Benz C class,53611,20610,4
BMW X5,54052,25095,6
Audi A5,65606,12847,7
BMW X5,84356,10000,9
Mercedez Benz C class,45530,23409,3
BMW X5,79902,25700,5
Audi A5,73359,10000,7
BMW X5,20685,40494,2
Audi A5,17728,31396,1
BMW X5,111126,10000,10
Mercedez Benz C class,157741,10000,9
Audi A5,33958,32042,2
Mercedez Benz C class,69652,10000,8
Mercedez Benz C class,96395,10000,6
Mercedez Benz C class,21288,38278,2
BMW X5,67739,10000,7
Mercedez Benz C class,122123,10000,8
BMW X5,120237,10000,7
Audi A5,100958,10000,6
Mercedez Benz C class,117936,10000,10
Mercedez Benz C class,93394,10000,7
BMW X5,50885,11682,5
Audi A5,61814,25163,6
Mercedez Benz C class,34722,37879,2
Audi A5,33855,29173,2
Audi A5,41016,22969,4
BMW X5,23314,38659,2
BMW X5,68247,23959,6
Mercedez Benz C class,88914,10000,9
Audi A5,134412,10000,9
Mercedez Benz C class,84116,10000,7
Audi A5,15291,33346,1
Mercedez Benz C class,62585,12343,6
Mercedez Benz C class,18732,29428,2
Audi A5,58209,15618,5
Mercedez Benz C class,64112,17216,6
Audi A5,50001,19723,3
Mercedez Benz C class,146859,10000,10
Audi A5,29289,28332,3
BMW X5,155652,10000,9
Audi A5,66750,10000,8
BMW X5,122922,13142,8
BMW X5,71595,10000,8
BMW X5,35888,37504,2
Mercedez Benz C class,9032,42130,1
BMW X5,13633,41096,1
Mercedez Benz C class,92375,10000,7
BMW X5,69487,17323,5
Audi A5,45807,32277,3
Audi A5,84194,10000,6
Mercedez Benz C class,18734,27380,2
Mercedez Benz C class,129217,10000,8
Mercedez Benz C class,31707,31575,3
BMW X5,51507,10000,6
Mercedez Benz C class,150359,10000,9
Audi A5,46707,23882,5
Mercedez Benz C class,114657,10000,7
Mercedez Benz C class,70193,10564,6
Audi A5,17238,39470,1
Audi A5,151475,10000,10
Mercedez Benz C class,62259,29206,4
Audi A5,139768,10000,8
BMW X5,72989,10000,9
Audi A5,91044,10000,10
Mercedez Benz C class,9555,42093,1
Audi A5,139144,10000,9
Audi A5,39693,28770,3
Audi A5,62765,23446,4
Mercedez Benz C class,13619,31843,1
BMW X5,114896,10000,8
Audi A5,14261,30009,1
Audi A5,54493,10000,6
BMW X5,52974,10000,6
Audi A5,33562,33923,2
Audi A5,45361,33004,3
Mercedez Benz C class,8564,31302,1
BMW X5,16517,41791,1
BMW X5,109522,13354,8
BMW X5,82022,10000,8
Audi A5,98249,10000,10
Mercedez Benz C class,161536,10000,10
BMW X5,20540,35655,2
Audi A5,99316,10000,8
BMW X5,74246,10000,6
Audi A5,124480,10000,8
BMW X5,56372,23408,5
Mercedez Benz C class,70163,16048,4
Mercedez Benz C class,37447,21660,4
Audi A5,84693,10000,8
Audi A5,90619,11677,10
BMW X5,27161,30554,2
BMW X5,22161,37541,2
Audi A5,9871,38896,1
Audi A5,12263,42086,1
Mercedez Benz C class,64984,15638,8
Audi A5,77230,10000,5
BMW X5,118861,10000,9
Audi A5,66011,10000,6
Audi A5,165274,10000,10
BMW X5,83484,18006,6
BMW X5,17180,33311,2
Mercedez Benz C class,9250,31237,1
BMW X5,118166,10008,9
Mercedez Benz C class,46967,30104,4
Mercedez Benz C class,108612,10000,8
Audi A5,172890,10000,10
BMW X5,31042,27823,2
Mercedez Benz C class,24314,37782,2
BMW X5,102825,10000,8
Mercedez Benz C class,75170,10000,7
Mercedez Benz C class,49735,16886,5
Audi A5,18919,29629,2
BMW X5,131772,10000,8
Mercedez Benz C class,78179,18581,5
Mercedez Benz C class,87496,10000,6
Audi A5,31189,23189,2
Audi A5,75768,15853,6
Mercedez Benz C class,78025,10896,8
BMW X5,122847,10000,8
Audi A5,159453,10000,10
Mercedez Benz C class,10813,36406,1
Audi A5,154563,10000,9
Mercedez Benz C class,71649,30509,4
Mercedez Benz C class,99811,10000,6
Audi A5,85320,12906,7
BMW X5,56617,29590,4
BMW X5,47450,22443,3
Mercedez Benz C class,34644,24084,3
Mercedez Benz C class,65655,10000,5
Audi A5,104862,11877,7
Mercedez Benz C class,82563,10000,7
Audi A5,59526,17795,6
BMW X5,47208,26964,3
BMW X5,128238,10000,9
Audi A5,64125,21988,6
Audi A5,138769,10000,9
Mercedez Benz C class,49616,18932,5
Mercedez Benz C class,42202,25213,5
Mercedez Benz C class,36172,34607,3
Audi A5,69914,10000,7
Audi A5,45651,23041,3
BMW X5,76546,10000,9
BMW X5,48042,35361,3
Audi A5,134218,10000,9
Audi A5,19907,33123,2
Mercedez Benz C class,103641,10000,7
Mercedez Benz C class,92101,10000,9
BMW X5,42885,22683,3
Audi A5,28997,39667,2
Mercedez Benz C class,117661,17018,7
BMW X5,9435,34796,1
BMW X5,48738,29060,3
Mercedez Benz C class,108619,10000,9
Audi A5,49052,21862,6
Audi A5,34591,30665,4
BMW X5,24167,33285,3
BMW X5,77448,12579,8
Audi A5,18791,28976,2
Audi A5,48116,29126,3
Audi A5,46233,18319,5
BMW X5,119347,10805,8
Audi A5,78677,10000,9
BMW X5,67773,28166,4
Audi A5,33624,23512,4
Mercedez Benz C class,78589,10073,6
BMW X5,86128,10000,7
Mercedez Benz C class,96366,10000,6
Mercedez Benz C class,71320,19800,6
BMW X5,73514,10000,7
Mercedez Benz C class,10026,30090,1
BMW X5,107426,10000,10
Audi A5,38148,33085,3
Mercedez Benz C class,16294,43095,1
BMW X5,81083,13447,6
Audi A5,43774,20509,4
Audi A5,31081,25668,3
BMW X5,116164,10000,8
Audi A5,170625,10000,10
BMW X5,32561,27069,3
BMW X5,112965,10000,8
Audi A5,37881,30869,4
BMW X5,105076,10000,6
BMW X5,74112,10000,8
Mercedez Benz C class,79256,20962,5
Audi A5,58630,13681,5
Mercedez Benz C class,63462,12717,4
Mercedez Benz C class,60311,10000,7
Mercedez Benz C class,134884,10945,8
Mercedez Benz C class,15899,36331,1
Audi A5,122186,10000,10
Audi A5,60647,19119,4
Audi A5,27054,21620,3
Audi A5,86278,16621,6
Mercedez Benz C class,54000,31024,3
Audi A5,28619,25118,3
Mercedez Benz C class,105323,11504,7
Audi A5,70980,16785,6
BMW X5,34775,37006,2
Audi A5,41253,21372,4
BMW X5,85476,10000,8
Mercedez Benz C class,105368,10000,10
Mercedez Benz C class,91974,11172,8
Audi A5,14802,36047,1
BMW X5,10144,43799,1
Audi A5,150071,10000,9
Audi A5,35312,29921,3
Mercedez Benz C class,127135,10000,10
Audi A5,53945,22700,3
Audi A5,79645,10000,9
Mercedez Benz C class,55177,30972,4
Audi A5,103956,10000,6
Audi A5,96725,10000,10
Audi A5,34493,36787,2
Audi A5,40190,21999,5
Mercedez Benz C class,42112,26951,4
Mercedez Benz C class,68520,18769,5
BMW X5,161096,10000,10
Mercedez Benz C class,59791,14242,6
Audi A5,66360,11136,6
Audi A5,48508,14535,6
Mercedez Benz C class,88104,10000,9
BMW X5,70320,10000,8
Mercedez Benz C class,32596,32044,3
Audi A5,27898,33268,2
Audi A5,42888,12838,4
BMW X5,148870,10000,10
Audi A5,128879,10000,10
Audi A5,98816,10000,8
Audi A5,64088,15652,7
Mercedez Benz C class,62950,10000,6
Audi A5,76755,10000,9
Audi A5,36960,31274,3
Mercedez Benz C class,106586,14601,7
Audi A5,106624,10000,7
Audi A5,107146,10000,10
Audi A5,135997,10000,8
Mercedez Benz C class,76307,10000,9
Audi A5,48047,27471,3
BMW X5,22520,37669,2
BMW X5,115767,10000,9
Mercedez Benz C class,35400,20303,4
Mercedez Benz C class,104831,10000,7
Mercedez Benz C class,42626,20221,3
Audi A5,64085,12572,7
Mercedez Benz C class,68618,27033,4
Mercedez Benz C class,150539,10000,9
Audi A5,104129,10000,8
Mercedez Benz C class,65713,16232,4
Audi A5,89085,25575,5
BMW X5,48095,27467,3
Audi A5,16415,32216,2
Mercedez Benz C class,45891,17778,4
Audi A5,143701,10000,10
Audi A5,13102,34038,1
Mercedez Benz C class,9635,44356,1
BMW X5,140846,10000,8
BMW X5,11517,37997,1
Audi A5,86668,10000,8
BMW X5,63303,14057,7
Audi A5,35255,38765,2
Mercedez Benz C class,11649,40529,1
Audi A5,72427,14334,7
BMW X5,120469,10000,8
Mercedez Benz C class,83377,10000,9
BMW X5,58674,15869,4
Audi A5,153928,10000,10
BMW X5,52055,16737,4
Audi A5,30527,34939,2
BMW X5,103093,16303,8
Mercedez Benz C class,114025,10000,9
Audi A5,132694,10000,8
Mercedez Benz C class,109209,13034,9
BMW X5,89058,10000,10
BMW X5,40481,26393,4
Mercedez Benz C class,113329,10000,8
Audi A5,109265,10000,7
Mercedez Benz C class,100368,10000,8
BMW X5,71494,23185,5
BMW X5,35881,27816,2
Mercedez Benz C class,55038,16053,6
Audi A5,109970,10000,10
Audi A5,116088,10000,10
Audi A5,109229,10000,10
Mercedez Benz C class,10294,33194,1
Mercedez Benz C class,77413,10000,8
Mercedez Benz C class,43805,21732,4
BMW X5,80832,10000,9
Audi A5,16584,39897,1
Audi A5,66232,29730,4
Mercedez Benz C class,78917,10000,8
BMW X5,135379,10000,10
Audi A5,10938,33612,1
BMW X5,65195,28246,4
Mercedez Benz C class,26606,32844,3
BMW X5,56938,16447,7
Mercedez Benz C class,158945,10000,10
BMW X5,74114,15198,5
Mercedez Benz C class,20314,28710,2
BMW X5,17448,37239,1
Audi A5,50052,18966,4
Mercedez Benz C class,16477,33696,1
Audi A5,10108,33704,1
Audi A5,81707,10000,7
Mercedez Benz C class,109578,10000,9
Mercedez Benz C class,30549,32090,3
Audi A5,85458,10000,7
BMW X5,121184,10000,7
Mercedez Benz C class,79626,10000,9
Mercedez Benz C class,52809,29836,4
BMW X5,65809,10000,8
BMW X5,44336,19480,3
BMW X5,69123,10000,7
Audi A5,25308,33544,2
Mercedez Benz C class,33231,31326,2
Audi A5,64184,11580,8
BMW X5,56960,11500,5
Mercedez Benz C class,10344,41288,1
BMW X5,30060,31867,2
BMW X5,82342,18009,5
BMW X5,99996,10622,7
BMW X5,48853,30585,3
Mercedez Benz C class,116491,12754,8
Mercedez Benz C class,47151,14554,5
Mercedez Benz C class,109984,10257,7
Audi A5,83147,10000,9
Audi A5,50933,28095,4
Mercedez Benz C class,63079,13210,5
Mercedez Benz C class,27152,40201,2
Audi A5,45809,23934,4
BMW X5,25863,28669,2
Mercedez Benz C class,32673,25948,4
BMW X5,124031,10000,10
Mercedez Benz C class,75818,14719,6
Audi A5,12206,39756,1
Audi A5,39848,13215,4
BMW X5,49216,22127,5
Audi A5,130949,10000,9
Audi A5,85786,10000,9
BMW X5,119672,10000,9
Audi A5,108648,11851,7
Audi A5,121070,10000,10
BMW X5,84459,10000,7
Audi A5,92769,12683,6
Mercedez Benz C class,87227,10000,8
BMW X5,17345,32126,1
Audi A5,34239,20101,4
Audi A5,70854,27351,4
Mercedez Benz C class,45156,31240,3
Mercedez Benz C class,76720,10000,7
Audi A5,58020,10000,7
Mercedez Benz C class,75536,10000,9
BMW X5,9333,37556,1
BMW X5,72486,10000,9
Mercedez Benz C class,69248,10000,8
BMW X5,40108,25463,3
Mercedez Benz C class,68935,29551,4
Mercedez Benz C class,16163,39581,1
BMW X5,142214,10000,10
Audi A5,61519,10000,7
BMW X5,70446,14820,4
Audi A5,43213,23197,3
Audi A5,75170,10000,7
BMW X5,116969,10000,10
BMW X5,130925,10000,8
Audi A5,86722,10000,8
Mercedez Benz C class,98088,16198,8
Mercedez Benz C class,91896,10000,8
Audi A5,100521,16829,6
Mercedez Benz C class,13477,40382,1
Mercedez Benz C class,75292,13578,6
Mercedez Benz C class,85555,10000,7
BMW X5,114051,10000,10
Mercedez Benz C class,75061,10000,7
BMW X5,125920,10000,9
Audi A5,88298,10285,8
Mercedez Benz C class,70518,21207,4
BMW X5,84592,10000,9
Mercedez Benz C class,17880,31247,1
Mercedez Benz C class,92200,10000,10
BMW X5,89931,12434,6
Audi A5,144163,10000,10
Mercedez Benz C class,57054,10000,6
Mercedez Benz C class,38139,37577,3
Audi A5,106831,10000,6
BMW X5,62645,20398,5
Audi A5,106363,11454,6
Audi A5,93572,10000,8
Mercedez Benz C class,45763,30021,3
Audi A5,75458,10000,9
BMW X5,38501,31292,3
Mercedez Benz C class,137135,10000,10
BMW X5,102895,10000,10
BMW X5,66198,10000,6
Audi A5,87380,10000,10
Mercedez Benz C class,153565,10000,10
Mercedez Benz C class,92193,10000,10
Mercedez Benz C class,38033,19486,4
Mercedez Benz C class,104491,18097,6
Audi A5,170297,10000,10
Audi A5,93926,10000,9
Audi A5,72838,16837,8
Mercedez Benz C class,134587,10000,9
BMW X5,35531,32939,2
BMW X5,11155,43847,1
Audi A5,65263,10000,8
BMW X5,32275,21406,4
Audi A5,15335,35372,1
Mercedez Benz C class,69680,18810,5
BMW X5,19864,36836,2
BMW X5,66857,10000,6
BMW X5,9615,42265,1
Mercedez Benz C class,74578,13783,5
BMW X5,95800,10000,9
Mercedez Benz C class,52584,18156,4
Mercedez Benz C class,85727,16817,7
BMW X5,66657,28385,4
Mercedez Benz C class,11705,40097,1
BMW X5,62722,16477,7
Audi A5,13869,32476,1
BMW X5,100870,10034,7
Mercedez Benz C class,35937,32464,2
BMW X5,19518,40679,2
Audi A5,55886,22894,4
BMW X5,139130,10000,9
BMW X5,128237,10000,8
Mercedez Benz C class,66886,10000,8
BMW X5,10721,31604,1
Audi A5,157669,10000,9
Audi A5,155642,10000,10
Mercedez Benz C class,97759,16090,7
Mercedez Benz C class,153724,10000,9
BMW X5,24909,35183,2
BMW X5,29268,29959,2
Audi A5,85707,12979,5
Mercedez Benz C class,54052,15780,6
BMW X5,176081,10000,10
Mercedez Benz C class,35681,25144,2
BMW X5,9912,33312,1
Mercedez Benz C class,63740,30518,4
Mercedez Benz C class,19299,28321,2
Audi A5,157262,10000,10
Audi A5,43357,18837,3
Mercedez Benz C class,61548,10000,6
BMW X5,17383,37855,2
Mercedez Benz C class,110918,10000,7
Audi A5,83175,21513,5
Mercedez Benz C class,27461,30243,2
Mercedez Benz C class,76898,15016,5
Audi A5,88771,10628,6
Mercedez Benz C class,75382,10000,9
Mercedez Benz C class,63188,30521,4
Audi A5,24339,21903,3
Mercedez Benz C class,96050,10000,7
Mercedez Benz C class,27659,25276,3
Mercedez Benz C class,161871,10000,10
Mercedez Benz C class,144405,10000,9
BMW X5,11708,33569,1
Mercedez Benz C class,79854,13454,5
BMW X5,73126,10000,6
Mercedez Benz C class,23830,35207,2
Mercedez Benz C class,48515,18948,5
Mercedez Benz C class,15253,36394,1
Mercedez Benz C class,20415,35021,2
Audi A5,105996,10000,9
Audi A5,124767,10000,8
Mercedez Benz C class,30641,27083,3
BMW X5,130002,10000,9
BMW X5,90177,10000,9
Audi A5,46986,28183,3
Mercedez Benz C class,30491,33963,3
BMW X5,97640,10000,8
Audi A5,47514,26425,4
Audi A5,59964,22329,6
Audi A5,28422,31308,2
BMW X5,130112,10000,9
BMW X5,30190,35439,2
BMW X5,77033,17092,8
Mercedez Benz C class,56418,15046,6
Audi A5,126019,10000,9
Mercedez Benz C class,119356,10000,7
BMW X5,97571,10000,9
BMW X5,146910,10000,9
BMW X5,77185,10000,7
Mercedez Benz C class,134302,10000,9
Audi A5,87343,21943,5
BMW X5,74892,10000,8
BMW X5,51706,22742,4
BMW X5,80517,10000,9
Audi A5,41939,23335,4
Audi A5,64776,28077,4
BMW X5,87919,13217,6
Audi A5,8187,42419,1
BMW X5,25188,27417,3
BMW X5,42272,16378,5
Mercedez Benz C class,61492,17547,7
BMW X5,10007,42665,1
Audi A5,169920,10000,10
Audi A5,125175,10000,7
Audi A5,136023,10000,8
Audi A5,68345,17941,6
BMW X5,94469,12815,7
Mercedez Benz C class,149974,10000,10
BMW X5,117046,15333,7
BMW X5,79337,14094,8
BMW X5,67705,26946,4
Mercedez Benz C class,111695,10000,7
Audi A5,77533,21662,7
BMW X5,99304,10000,7
BMW X5,106621,19046,6
Audi A5,118560,10000,10
Mercedez Benz C class,88516,10000,8
Audi A5,127699,10000,8
BMW X5,12055,33919,1
Mercedez Benz C class,27692,41415,2
Audi A5,65068,10000,5
Mercedez Benz C class,16170,39185,1
Mercedez Benz C class,17128,31145,2
Audi A5,66327,10000,8
Audi A5,71385,10000,7
Mercedez Benz C class,138420,10000,10
Audi A5,10526,33808,1
BMW X5,73773,16127,5
BMW X5,38163,25781,4
Audi A5,40677,21130,5
Mercedez Benz C class,155598,10000,9
BMW X5,62456,11098,7
Audi A5,8524,38219,1
BMW X5,92475,10000,10
Mercedez Benz C class,156452,10000,10
Mercedez Benz C class,39287,20699,3
Mercedez Benz C class,78076,18249,7
Mercedez Benz C class,84001,11486,10
Audi A5,153385,10000,10
Audi A5,101268,15950,7
Mercedez Benz C class,114516,10000,10
Mercedez Benz C class,129495,10000,9
BMW X5,161254,10000,10
Audi A5,26268,31407,3
BMW X5,22937,37436,2
Mercedez Benz C class,151350,10000,10
